     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   30.,    2.0,   0.50,  -0.12,   0.25,   0.37,   0.19,   0.12,   0.24, 
   55.,    1.0,   0.60,  0.050,    0.0,  0.020, -0.0020,    0.0,  0.013, 
   39.,    2.0,   0.62, -0.062,   0.12,  0.093,  0.063,    0.0,  0.077, 
   45.,    4.0,   0.24,   0.12,   0.37,   0.13, -0.00077, -0.038,  0.029, 
   73.,    5.0,    3.6,  -0.35,  -0.25,  -0.19,   0.73,   0.23,  -0.39, 
   20.,    3.0,    1.0, -0.0050, -0.00050, 0.0030, -0.017, -0.017, 0.0024, 
   90.,    5.0,    2.7,  -0.31,  -0.70,  -0.75,    1.6,    1.1,  -0.61, 
   86.,    4.0,    0.0,   0.32,   0.26,   0.43,   0.24,   0.24,   0.28, 
   12.,    1.0,   0.50,   0.10,    0.0,  0.040,  0.099,   0.10,  0.050, 
   59.,    4.0,   0.34,  -0.11,  0.070, -0.080, -0.095,  -0.13,  -0.11, 
   41.,    5.0,    4.2,  -0.42,  -0.65,   0.39,  0.096,  -0.41,   -1.0, 
   66.,    3.0,   0.98, 0.0055,  0.017, 0.0053, 0.00071,    0.0, 0.0012, 
   89.,    0.0,   0.16, -0.026,  0.025, -0.060,  0.041,  0.030,  0.054, 
   66.,    2.0,   0.62,   0.12,    0.0,  0.069,  0.063,    0.0,  0.066, 
   25.,    3.0,    1.0, -0.0060, -0.0080, -0.0059, -0.018, -0.018, -0.0074, 
   26.,    0.0,   0.14, -0.011,  0.060,  0.020,  0.059,  0.048,  0.048, 
   13.,    1.0,   0.70,   0.15,   0.10,   0.10,  -0.10,  -0.10,  0.091, 
   63.,    0.0,   0.20, -0.075, -0.081, -0.051, -0.0037, -0.014, -0.032, 
   7.0,    2.0,   0.75,    0.0,  -0.12,  0.044, -0.063,  -0.12, -0.064, 
   68.,    4.0,    0.0,    0.0,    0.0,  0.056,   0.24,   0.24,   0.20, 
   55.,    0.0,   0.20, -0.024, -0.030,  0.012, -0.0012, -0.012, -0.0051, 
   22.,    5.0,    5.8,  -0.25,    2.2,    1.9,   -1.4,   -1.9,   0.76, 
   8.0,    0.0,   0.12, 0.0084,  0.048, -0.042,  0.080,  0.069,  0.058, 
   75.,    2.0,   0.62, -0.062,   0.12,  -0.23,  0.063,    0.0,  0.081, 
   77.,    2.0,   0.62,  0.062,   0.12, -0.0031,  0.063,    0.0,  0.073, 
   12.,    4.0,   0.39,  -0.11,  -0.24,   0.27,  -0.15,  -0.19,  -0.17, 
   69.,    0.0,   0.31,  -0.13, -0.086, -0.097,  -0.11,  -0.12,  -0.12, 
   53.,    3.0,   0.99,  0.013, -0.0040, -0.024, -0.0048, -0.0055,  0.025, 
   97.,    2.0,   0.62, -0.062,    0.0,  -0.54,  0.063,    0.0,  0.080, 
   46.,    1.0,   0.70,  0.050,    0.0, -0.038,  -0.10,  -0.10,  0.018, 
   88.,    4.0,    0.0,    0.0,   0.32,   0.30,   0.24,   0.24,   0.17, 
   32.,    3.0,    1.0, -0.0060, -0.0045, -0.0029, -0.018, -0.018, -0.017, 
   45.,    1.0,   0.90, -0.050,  -0.20,  0.016,  -0.31,  -0.30, -0.041, 
   41.,    1.0,   0.50,   0.15,   0.20,   0.13,  0.099,   0.10,  0.096, 
   53.,    1.0,   0.90, -0.050,  -0.20,  -0.24,  -0.31,  -0.30,  0.086, 
   18.,    2.0,   0.62,   0.12,   0.25,   0.22,  0.063,    0.0,  0.040, 
   22.,    5.0,    5.8,  -0.25,    2.2,    1.9,   -1.4,   -1.9,   0.76, 
   79.,    5.0,    2.8,  -0.67,   0.98,   0.41,    1.6,    1.1,   0.48, 
   75.,    2.0,   0.62, -0.062,   0.12,  -0.23,  0.063,    0.0,  0.081, 
   58.,    3.0,    1.0, 0.0015, -0.00050,  0.020, -0.017, -0.018,  0.021, 
   61.,    3.0,   0.96,  0.011, -0.0050, 0.0014,  0.026,  0.025,  0.016, 
   5.0,    2.0,   0.62,  0.062,   0.12, -0.020,  0.063,    0.0,  0.048, 
