     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   90.,    1.0,   0.16,   0.10,  0.035,  0.088,   0.11,  0.077,  0.092, 
   17.,    2.0,   0.47,  0.060,  0.093,  0.017,  -0.13,  -0.16,  0.081, 
   83.,    4.0,   0.48,  -0.21,  -0.11, -0.097,  0.058,  0.044,  -0.14, 
   34.,    4.0,   0.60,  -0.19,  -0.23, -0.048, -0.064, -0.077,  -0.11, 
   78.,    1.0,   0.27,  -0.10,   0.10, -0.060, 0.00025, -0.043,  0.029, 
   56.,    2.0,   0.30, -0.039, -0.024, -0.079,  0.043, 0.0090, -0.037, 
   75.,    5.0,   0.29, -0.027, -0.069, -0.034,  0.026, -0.0060, -0.0081, 
   82.,    3.0,   0.20,  0.024, -0.0030,  0.083,   0.14,   0.10,  0.035, 
   57.,    1.0,    0.0,   0.16,   0.16,   0.14,   0.28,   0.24,   0.17, 
   55.,    0.0,  0.053,  0.073,   0.16,  0.098,   0.18,   0.14,   0.16, 
   86.,    1.0,   0.12,  -0.12,  0.085,   0.19,   0.16,   0.12, -0.048, 
   34.,    2.0,   0.26,  0.092,   0.14,   0.17,  0.085,  0.051,  0.056, 
   21.,    4.0,   0.62, -0.097,  -0.16,  -0.14, -0.089,  -0.10, -0.037, 
   8.0,    5.0,   0.41,   0.36,   0.27,   0.15, -0.099,  -0.13, -0.053, 
   53.,    0.0,   0.16, -0.063,  -0.16,  -0.13,  0.075,  0.032,  0.088, 
   25.,    5.0,   0.24,   0.11,  0.047,  0.051,  0.079,  0.049,  0.082, 
   67.,    5.0,   0.26,  0.020, -0.087, -0.035,  0.055,  0.025,  0.095, 
   38.,    5.0,   0.26,  0.044, -0.0040, -0.0016,  0.057,  0.027,  0.067, 
   22.,    5.0,   0.26,  0.081,  0.036, 0.0032,  0.061,  0.031,   0.11, 
   81.,    2.0,   0.28, -0.021,  -0.11, -0.083,  0.062,  0.028, -0.018, 
   37.,    4.0,   0.58, -0.099, -0.060, -0.078, -0.042, -0.055, -0.076, 
   50.,    2.0,   0.35, -0.0090, -0.077, -0.048, -0.0056, -0.045,  -0.10, 
   51.,    3.0,   0.30,  0.029, -0.043, 0.0043,  0.036, -0.0020,  0.038, 
   74.,    0.0,   0.15,  0.027,  0.033, -0.036,  0.084,  0.041, -0.0022, 
   59.,    1.0,   0.23, -0.073,  -0.12, -0.068,  0.044, 0.0090, -0.032, 
   12.,    0.0,   0.38,  0.045, -0.074,  -0.18,  -0.15,  -0.19, -0.00052, 
   29.,    4.0,   0.65, -0.027,   0.15,  0.032,  -0.12,  -0.13, -0.043, 
   41.,    0.0,   0.31, -0.047,  -0.13, -0.052, -0.080,  -0.12,  0.095, 
   6.0,    3.0,   0.60, -0.035,  -0.14,  0.097,  -0.27,  -0.30,  -0.13, 
   78.,    3.0,   0.20, -0.017,  0.087,  0.048,   0.13,  0.098, -0.014, 
