     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   12.,    1.0, 0.0062,  0.017, 0.0095, 0.0018, 0.0078, 0.0078, 0.0078,  0.089,  0.054, 
   81.,    2.0,   0.25,  -0.10, -0.086, -0.086,    0.0,  0.031,    0.0, -0.074,  -0.13, 
   28.,    3.0,    0.0,  0.053,  0.016,    0.0,  0.016, 0.0088,  0.031,   0.11,  0.031, 
   75.,    5.0,   0.14,  0.022,   0.25,  0.023,    0.0,    0.0,  0.045, -0.026, -0.091, 
   24.,    1.0,  0.014, -0.011, 0.0017,  0.015,    0.0, 0.0038,    0.0,  0.081,  0.047, 
   63.,    1.0,   0.25,  0.050,  0.063,  -0.13,   0.25,   0.13,    0.0,  -0.16,  -0.19, 
   79.,    1.0,   0.12, -0.022, -0.031,    0.0, -0.031, 2.5e-05, -0.063, -0.029, -0.063, 
   25.,    2.0,  0.040,  0.084,   0.12,   0.10,   0.30,   0.26,  0.037,   0.14,  0.084, 
   55.,    2.0,  0.062,  0.034, 0.0077, -0.049, 0.0077, -5.0e-05,    0.0,   0.12,  0.062, 
   69.,    4.0,  0.019,  0.033,    0.0,    0.0,    0.0,    0.0,    0.0,  0.078,  0.039, 
   96.,    1.0,  0.022, -0.019, -0.010, -0.018, -0.018, -0.018, -0.016,  0.073,  0.039, 
   32.,    4.0,  0.019,  0.044,    0.0,    0.0,  0.019,    0.0,    0.0,  0.078,  0.039, 
   61.,    4.0,  0.019,  0.099,  0.078,    0.0,  0.078,    0.0,    0.0,  0.078,  0.039, 
   78.,    1.0,  0.029, -0.0065, -0.017, -0.017, -0.019, -0.0096, -0.028,  0.066,  0.031, 
   84.,    5.0,  0.045,  0.024, -0.026, -0.026,  0.028, -0.028,    0.0,  0.065,    0.0, 
   62.,    1.0,  0.029, -0.037, -0.014, -0.025,  0.031, 0.0080,    0.0,  0.066,  0.031, 
   3.0,    5.0, 0.0057,  0.064, 0.0085, 0.0085,  0.014, 0.0071, -0.0057,   0.11,  0.040, 
   42.,    0.0,  0.028,  0.092,   0.47,   0.47, -0.017, -0.019, -0.020,   0.11,  0.045, 
   80.,    3.0, 0.0078,  0.045,  0.024,  0.024,  0.024,  0.029,  0.024,   0.10,  0.024, 
   51.,    1.0,  0.022, -0.029, -0.020, -0.0063,  0.073,  0.073,    0.0,  0.073,  0.039, 
   59.,    0.0,   0.20, -0.028,  0.028,  0.028,  -0.12,  0.056,  -0.11, -0.068,  -0.13, 
   4.0,    3.0,  0.062,  0.024,  0.064, -0.062, -0.039, -0.047, -0.031,  0.047, -0.031, 
   91.,    1.0,  0.029, -0.026, -0.014, -0.014, -0.0077, -0.0077,    0.0,  0.066,  0.031, 
   28.,    4.0,  0.058,  0.023, -0.019, -0.019, -0.039, -0.039, -0.039,  0.039,    0.0, 
   69.,    5.0, 0.0057,  0.065,   0.16,  0.040,  0.020,  0.011,  0.017,   0.11,  0.040, 
   82.,    1.0,   0.25,  -0.15, -0.063,  -0.19,  -0.16,  -0.17,  -0.13,  -0.16,  -0.19, 
   89.,    3.0,  0.062,  0.060, -0.062, -0.031,  0.062, -0.031, -0.031,  0.047, -0.031, 
   0.0,    5.0,  0.045,  0.025,   0.43, -0.017,   0.28, -0.011,   0.59,  0.065,    0.0, 
   30.,    3.0,   0.12, -0.039, 0.0020,  0.018, -0.062, -0.090,  -0.12, -0.016, -0.094, 
